;Source Domain;Target Domain;Title;Metaphor;Example 
685;functionality, destruction;harm;Harm Is Causing Functional Objects To Be Nonfunctional;Harm Is Causing Functional Objects To Be Nonfunctional;He crushed the rebellion.
686;functionality, destruction;harm;Harm Is Causing Functional Objects To Be Nonfunctional;Harm Is Causing Functional Objects To Be Nonfunctional;Smash capitalism!
687;functionality, destruction;harm;Harm Is Causing Functional Objects To Be Nonfunctional;Harm Is Causing Functional Objects To Be Nonfunctional;The theory was cut to pieces/ribbons/shreds.
688;functionality, destruction;harm;Harm Is Causing Functional Objects To Be Nonfunctional;Harm Is Causing Functional Objects To Be Nonfunctional;She wrecked our marriageOPERATION
689;functionality, destruction;harm;Harm Is Causing Functional Objects To Be Nonfunctional;Harm Is Causing Functional Objects To Be Nonfunctional;He threw a monkey wrench into our plans.
690;functionality, destruction;harm;Harm Is Causing Functional Objects To Be Nonfunctional;Harm Is Causing Functional Objects To Be Nonfunctional;She keeps gumming up the works.
691;possessions, transfer;harm;Harm Is Having A Harmful Possession;Harm Is Having A Harmful Possession;I have the worst luck
692;possessions, transfer;harm;Harm Is Having A Harmful Possession;Being Harmed Is Being Given An Undesirable Possession;I got a headache [from the noise]
693;possessions, transfer;harm;Harm Is Having A Harmful Possession;Being Harmed Is Being Given An Undesirable Possession;The noise gave him a headache
694;possessions, transfer;harm;Harm Is Having A Harmful Possession;Being Harmed Is Being Given An Undesirable Possession;My car gave me a lot of trouble yesterday
695;possessions, transfer;harm;Harm Is Having A Harmful Possession;Being Harmed Is Being Given An Undesirable Possession;The accident gave her whiplash
696;possessions, transfer;harm;Harm Is Having A Harmful Possession;Restoration Is Having The Bad Thing Taken Away;The aspirin took away my headache
697;possessions, transfer;harm;Harm Is Having A Harmful Possession;Restoration Is Having The Bad Thing Taken Away;I got rid of the side effects
698;possessions, transfer;harm;Harm Is Having A Harmful Possession;Restoration Is Getting A Good Thing In Compensation;He gave me $125,000 in return for my trouble
699;possessions, transfer;harm;Harm Is Having A Harmful Possession;Restoration Is Getting A Good Thing In Compensation;She got no sympathy for her injuries
700;possessions, transfer;harm;Harm Is Lacking A Needed Possession;Harm Is Lacking A Needed Possession;If you don't have your health, what have you got?
701;possessions, transfer;harm;Harm Is Lacking A Needed Possession; Being Harmed Is Having A Needed Possession Taken Or Losing A needed possession;The accident took my health
702;possessions, transfer;harm;Harm Is Lacking A Needed Possession; Being Harmed Is Having A Needed Possession Taken Or Losing A needed possession;I lost my job
703;possessions, transfer;harm;Harm Is Lacking A Needed Possession; Being Harmed Is Having A Needed Possession Taken Or Losing A needed possession;His mistake cost me my job
704;possessions, transfer;harm;Harm Is Lacking A Needed Possession; Being Harmed Is Having A Needed Possession Taken Or Losing A needed possession;I paid for his error with my job
705;possessions, transfer;harm;Harm Is Lacking A Needed Possession;Gain In Well-being Is Gain In Possessions;The idea bought me time
706;possessions, transfer;harm;Harm Is Lacking A Needed Possession;Gain In Well-being Is Gain In Possessions;I gained status from my decision
707;possessions, transfer;harm;Harm Is Lacking A Needed Possession;Gain In Well-being Is Gain In Possessions;The accident gave me a new perspective on life
708;injury;harm;Harm Is Physical Injury;Restitution Is Healing;It was a traumatic experience.
709;injury;harm;Harm Is Physical Injury;Restitution Is Healing;Her death hurt him.
710;injury;harm;Harm Is Physical Injury;Restitution Is Healing;The accusation wounded her.
711;injury;harm;Harm Is Physical Injury;Restitution Is Healing;He's mentally ill/fit.
712;injury;harm;Harm Is Physical Injury;Restitution Is Healing;My pride was wounded.
713;injury;harm;Harm Is Physical Injury;Restitution Is Healing;She recovered from the wound to her psyche, but scars remained.
714;injury;harm;Harm Is Physical Injury;Restitution Is Healing;The stock market suffered a sharp dive today.
715;injury;harm;Harm Is Physical Injury;Restitution Is Healing;Americans can expect painful cutbacks with the recession.
716;injury;harm;Harm Is Physical Injury;Restitution Is Healing;My stock portfolio is very healthy.
717;injury;harm;Harm Is Physical Injury;Restitution Is Healing;The market returned to health today.
718;injury;harm;Harm Is Physical Injury;Restitution Is Healing;The symptoms of the recession have all but disappeared.
719;injury;harm;Harm Is Physical Injury;Restitution Is Healing;The oil spill has caused a shock to the environment.
720;injury;harm;Harm Is Physical Injury;Restitution Is Healing;Smog pollution is an environmental malaise.
721;injury;harm;Harm Is Physical Injury;Restitution Is Healing;Ecologists are nursing the Bay back to health.
722;injury;harm;Harm Is Physical Injury;Restitution Is Healing;The difficult election left the candidate scarred.
723;injury;harm;Harm Is Physical Injury;Restitution Is Healing;Her admission killed her in the election.
724;injury;harm;Harm Is Physical Injury;Restitution Is Healing;Gorbachev is a lame duck.
725;injury;harm;Harm Is Physical Injury;Long-term Effects Of The Harm Are Scars time;Bush's election left the Democrats out in the cold.
726;injury;harm;Harm Is Physical Injury;Person In Situation Is The Prey;Don't throw me to the lions!
727;injury;harm;Harm Is Physical Injury;Person In Situation Is The Prey;I feel like a little fish surrounded by sharks.
728;injury;harm;Harm Is Physical Injury;Person In Situation Is The Prey;If that player goes in, he'll be dead meat!
729;injury;harm;Harm Is Physical Injury;Person In Situation Is The Prey;There are drug dealers preying on young kids.
730;injury;harm;Harm Is Physical Injury;Person In Situation Is The Prey;The FBI lay in wait of their quarry for days.
731;injury;harm;Harm Is Physical Injury;Competators Or Antagonists Are Predators;Lawyers are real sharks.
732;injury;harm;Harm Is Physical Injury;Competators Or Antagonists Are Predators;He was a real barracuda in the first debate.
733;injury;harm;Harm Is Physical Injury;Competators Or Antagonists Are Predators;I said one thing and they pounced on me like a pack of dingos (wild dogs)
734;injury;harm;Harm Is Physical Injury;Competators Or Antagonists Are Predators;Bus station mashers are often called chicken hawks.
735;injury;harm;Harm Is Physical Injury;Competators Or Antagonists Are Predators;Loan sharks
736;injury;harm;Harm Is Physical Injury;A Difficult Situation Is Place Where Predation Occurs;You're moving into shark infested waters.
737;injury;harm;Harm Is Physical Injury;A Difficult Situation Is Place Where Predation Occurs;The conference room is a real snake pit today.
738;injury;harm;Harm Is Physical Injury;A Difficult Situation Is Place Where Predation Occurs;It's a jungle out there.
739;injury;harm;Harm Is Physical Injury;Success Or Failure In An Adversative Situation Is Eating, Or Being Eaten.;I got eaten alive in that game
740;injury;harm;Harm Is Physical Injury;Success Or Failure In An Adversative Situation Is Eating, Or Being Eaten.;My competitor chewed me up and spat me out.
741;injury;harm;Harm Is Physical Injury;Success Or Failure In An Adversative Situation Is Eating, Or Being Eaten.;They had me for breakfast.
742;injury;harm;Harm Is Physical Injury;Success Or Failure In An Adversative Situation Is Eating, Or Being Eaten.;I tell you, it's either eat or be eaten.
743;injury;harm;Harm Is Physical Injury;Success Or Failure In An Adversative Situation Is Eating, Or Being Eaten.;It's a dog
744;motion, journey;harm;Harm Is Preventing Forward Motion Toward A Goal.;Reducing The Effect Of Future Harm Is Giving A Headstart;Public school segregation was an obstacle in attaining     civil rights
745;motion, journey;harm;Harm Is Preventing Forward Motion Toward A Goal.;Reducing The Effect Of Future Harm Is Giving A Headstart;If I can just get around that restriction, I'll be able to     graduate
746;motion, journey;harm;Harm Is Preventing Forward Motion Toward A Goal.;Reducing The Effect Of Future Harm Is Giving A Headstart;How am I supposed to learn anything if the school keeps     placing roadblocks in my way?
747;motion, journey;harm;Harm Is Preventing Forward Motion Toward A Goal.;Reducing The Effect Of Future Harm Is Giving A Headstart;Once the obstacle of segregation was removed, Blacks went     on to show that they could perform as well as White     children (they had a clear path)
748;motion, journey;harm;Harm Is Preventing Forward Motion Toward A Goal.;Reducing The Effect Of Future Harm Is Giving A Headstart;Her accident was an enormous setback to her career
749;motion, journey;harm;Harm Is Preventing Forward Motion Toward A Goal.;Reducing The Effect Of Future Harm Is Giving A Headstart;The failure of the experiment puts us back at square one
750;motion, journey;harm;Harm Is Preventing Forward Motion Toward A Goal.;Reducing The Effect Of Future Harm Is Giving A Headstart;The inadequacy of the welfare system forced me to explore     pornography (can also participate in the harmful location     case)
751;motion, journey;harm;Harm Is Preventing Forward Motion Toward A Goal.;Reducing The Effect Of Future Harm Is Giving A Headstart;I got distracted from my goal
752;motion, journey;harm;Harm Is Preventing Forward Motion Toward A Goal.;Reducing The Effect Of Future Harm Is Giving A Headstart;It's hard to reach the top when you're saddled with an     unwanted baby
753;motion, journey;harm;Harm Is Preventing Forward Motion Toward A Goal.;Reducing The Effect Of Future Harm Is Giving A Headstart;How I am supposed to learn anything if I'm weighed down     with red tape?
754;motion, journey;harm;Harm Is Preventing Forward Motion Toward A Goal.;Reducing The Effect Of Future Harm Is Giving A Headstart;Welfare exists to lighten the burden of poverty on single     parents
